model,Position,rmse,mae,count
CatBoost,1,11089985.936239509,8310247.684252123,66
CatBoost,2,8376792.4790673675,6345803.59114297,63
CatBoost,3,12382335.83898559,8456196.335596649,65
GBM,1,10174310.646143349,7963164.531226668,66
GBM,2,8414373.17219213,6512095.364822906,63
GBM,3,13544708.015922187,9110782.166258542,65
Lasso,1,15729100.990511715,10774532.003887631,66
Lasso,2,11141056.51016263,9028676.953097802,63
Lasso,3,13628185.443267297,9144559.789155215,65
LightGBM,1,11606002.172789132,8588062.824581211,66
LightGBM,2,9112365.89277481,6368636.664556033,63
LightGBM,3,13849074.163106449,9066850.64125355,65
LightGBM_QR,1,10209472.808191147,7765183.590763116,66
LightGBM_QR,2,7964317.550001326,6009492.8608923275,63
LightGBM_QR,3,13407887.11135751,8690861.051902583,65
Linear,1,13908421.946974201,10190109.988373745,66
Linear,2,10963907.94684676,8901241.480861235,63
Linear,3,13529289.92159316,9154496.502074221,65
RandomForest,1,11860772.318290481,9139918.181818182,66
RandomForest,2,8624139.601338962,6477694.047619048,63
RandomForest,3,12768469.799273957,8480597.307692308,65
Ridge,1,13330728.875719287,10114066.191413436,66
Ridge,2,11126680.696309054,9106969.697832214,63
Ridge,3,13882188.658714907,9389300.526327971,65
XGBoost,1,11682061.335915055,8585571.378333334,66
XGBoost,2,8920821.147023212,6195807.379365079,63
XGBoost,3,12029682.305604005,8504348.427692307,65
