model,rmse_cv,rmse_test,mae_test,rmse_vs_fee,pinball_loss
LightGBM_QR_0.5,10466305.829939391,10783878.719786659,7505186.265980671,10783878.719786659,3752593.1329903356
LightGBM,10533061.369433872,11706938.390607068,8027739.93799418,11706938.390607068,
GBM,10539452.71030032,10939723.201108754,7876452.102327879,10939723.201108754,
CatBoost_QR_0.5,10561165.318530966,11216156.700607339,7807829.163800613,11216156.700607339,3903914.5819003065
RandomForest,10756344.325936293,11253319.205301655,8054475.0,11253319.205301655,
CatBoost,10824646.453255534,10770303.47264624,7721209.975342419,10770303.47264624,
XGBoost,11111659.507425519,10988987.954640802,7782300.07941366,10988987.954640802,
CatBoost_QR_0.9,11746675.122890174,12165901.597614883,8963107.679690637,12165901.597614883,2694776.0186245022
LightGBM_QR_0.9,11936599.320287574,13202222.436499823,9722194.823418455,13202222.436499823,2386914.3441530736
CatBoost_QR_0.1,13209528.939418051,13229918.068773128,8593689.629727257,13229918.068773128,3041806.7866176288
LightGBM_QR_0.1,14346355.231724724,13513397.723821003,8198093.181447265,13513397.723821003,2078561.4286431326
Ridge,22788613.512395658,12854223.488956416,9544185.535092961,12854223.488956416,
Lasso,23579049.073086224,13663999.300817693,9661454.363901207,13663999.300817693,
Linear,28571938.25494604,12890915.311034542,9424576.005988399,12890915.311034542,
